,gene,gene_link,number_of_families,novel_gene,phenotype_class,report_link
0,KMT2D,https://mygene2.org/MyGene2/variantsbygene?gene=KMT2D,141,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KMT2D
1,SATB2,https://mygene2.org/MyGene2/variantsbygene?gene=SATB2,100,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SATB2
2,MYH3,https://mygene2.org/MyGene2/variantsbygene?gene=MYH3,95,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=MYH3
3,PIEZO2,https://mygene2.org/MyGene2/variantsbygene?gene=PIEZO2,50,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=PIEZO2
4,ZNF292,https://mygene2.org/MyGene2/variantsbygene?gene=ZNF292,44,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=ZNF292
5,C5ORF42,https://mygene2.org/MyGene2/variantsbygene?gene=C5ORF42,37,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=C5ORF42
6,CC2D2A,https://mygene2.org/MyGene2/variantsbygene?gene=CC2D2A,32,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CC2D2A
7,AHI1,https://mygene2.org/MyGene2/variantsbygene?gene=AHI1,26,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=AHI1
8,CEP290,https://mygene2.org/MyGene2/variantsbygene?gene=CEP290,26,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CEP290
9,ZC4H2,https://mygene2.org/MyGene2/variantsbygene?gene=ZC4H2,25,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=ZC4H2
10,TMEM67,https://mygene2.org/MyGene2/variantsbygene?gene=TMEM67,23,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TMEM67
11,NALCN,https://mygene2.org/MyGene2/variantsbygene?gene=NALCN,21,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=NALCN
12,SF3B4,https://mygene2.org/MyGene2/variantsbygene?gene=SF3B4,20,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SF3B4
13,CSPP1,https://mygene2.org/MyGene2/variantsbygene?gene=CSPP1,17,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CSPP1
14,SLC12A3,https://mygene2.org/MyGene2/variantsbygene?gene=SLC12A3,16,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SLC12A3
15,TPM2,https://mygene2.org/MyGene2/variantsbygene?gene=TPM2,15,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TPM2
16,AVPR2,https://mygene2.org/MyGene2/variantsbygene?gene=AVPR2,13,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=AVPR2
17,PKD1,https://mygene2.org/MyGene2/variantsbygene?gene=PKD1,13,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=PKD1
18,TNNT3,https://mygene2.org/MyGene2/variantsbygene?gene=TNNT3,13,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TNNT3
19,TNNI2,https://mygene2.org/MyGene2/variantsbygene?gene=TNNI2,12,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TNNI2
20,KCTD1,https://mygene2.org/MyGene2/variantsbygene?gene=KCTD1,11,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KCTD1
21,KDM1A,https://mygene2.org/MyGene2/variantsbygene?gene=KDM1A,11,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KDM1A
22,RPGRIP1L,https://mygene2.org/MyGene2/variantsbygene?gene=RPGRIP1L,11,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=RPGRIP1L
23,TMEM216,https://mygene2.org/MyGene2/variantsbygene?gene=TMEM216,10,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TMEM216
24,PMPCA,https://mygene2.org/MyGene2/variantsbygene?gene=PMPCA,9,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=PMPCA
25,TTN,https://mygene2.org/MyGene2/variantsbygene?gene=TTN,9,N,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=TTN
26,INPPL1,https://mygene2.org/MyGene2/variantsbygene?gene=INPPL1,8,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=INPPL1
27,KDM5C,https://mygene2.org/MyGene2/variantsbygene?gene=KDM5C,8,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KDM5C
28,MKS1,https://mygene2.org/MyGene2/variantsbygene?gene=MKS1,8,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=MKS1
29,RYR1,https://mygene2.org/MyGene2/variantsbygene?gene=RYR1,8,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=RYR1
30,DHODH,https://mygene2.org/MyGene2/variantsbygene?gene=DHODH,7,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=DHODH
31,NR3C2,https://mygene2.org/MyGene2/variantsbygene?gene=NR3C2,7,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=NR3C2
32,DYNC1H1,https://mygene2.org/MyGene2/variantsbygene?gene=DYNC1H1,6,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=DYNC1H1
33,MECP2,https://mygene2.org/MyGene2/variantsbygene?gene=MECP2,6,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=MECP2
34,TBCK,https://mygene2.org/MyGene2/variantsbygene?gene=TBCK,6,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TBCK
35,ACTC1,https://mygene2.org/MyGene2/variantsbygene?gene=ACTC1,5,N,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=ACTC1
36,CHD2,https://mygene2.org/MyGene2/variantsbygene?gene=CHD2,5,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=CHD2
37,FLNA,https://mygene2.org/MyGene2/variantsbygene?gene=FLNA,5,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=FLNA
38,KMT2E,https://mygene2.org/MyGene2/variantsbygene?gene=KMT2E,5,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=KMT2E
39,MAGEL2,https://mygene2.org/MyGene2/variantsbygene?gene=MAGEL2,5,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=MAGEL2
40,NPHP1,https://mygene2.org/MyGene2/variantsbygene?gene=NPHP1,5,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=NPHP1
41,OFD1,https://mygene2.org/MyGene2/variantsbygene?gene=OFD1,5,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=OFD1
42,TCTN2,https://mygene2.org/MyGene2/variantsbygene?gene=TCTN2,5,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TCTN2
43,WDR37,https://mygene2.org/MyGene2/variantsbygene?gene=WDR37,5,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=WDR37
44,ANK3,https://mygene2.org/MyGene2/variantsbygene?gene=ANK3,4,,,
45,APRT,https://mygene2.org/MyGene2/variantsbygene?gene=APRT,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=APRT
46,BRCA2,https://mygene2.org/MyGene2/variantsbygene?gene=BRCA2,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=BRCA2
47,COL4A5,https://mygene2.org/MyGene2/variantsbygene?gene=COL4A5,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=COL4A5
48,FBN2,https://mygene2.org/MyGene2/variantsbygene?gene=FBN2,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=FBN2
